x_m,y_m,yaw_rad
-1.5485,9.0910,4.3633
-1.6162,8.8384,4.5379
-1.6390,8.5780,4.7124
-1.6390,8.3165,4.7124
-1.6390,8.0550,4.7124
-1.6618,7.7946,4.5379
-1.7295,7.5420,4.3633
-1.8400,7.3050,4.1888
-1.9899,7.0908,4.0143
-2.1748,6.9060,3.8397
-2.3890,6.7560,3.6652
-2.6260,6.6455,3.4907
-2.8717,6.5561,3.4907
-3.1174,6.4666,3.4907
-3.3699,6.3990,3.3161
-3.6304,6.3762,3.1416
-3.8909,6.3990,2.9671
-4.1434,6.4666,2.7925
-4.3804,6.5771,2.6180
-4.5946,6.7271,2.4435
-4.7795,6.9120,2.2689
-4.9294,7.1262,2.0944
-5.0399,7.3631,1.9199
-5.1294,7.6088,1.9199
-5.2188,7.8545,1.9199
-5.3082,8.1002,1.9199
-5.3976,8.3459,1.9199
-5.4871,8.5916,1.9199
-5.5547,8.8442,1.7453
-5.5775,9.1047,1.5708
-5.5547,9.3651,1.3963
-5.4871,9.6177,1.2217
-5.3766,9.8547,1.0472
-5.2458,10.0811,1.0472
-5.1151,10.3075,1.0472
-4.9844,10.5340,1.0472
-4.8536,10.7604,1.0472
-4.7229,10.9869,1.0472
-4.5922,11.2133,1.0472
-4.4422,11.4275,0.8727
-4.2573,11.6124,0.6981
-4.0431,11.7623,0.5236
-3.8062,11.8728,0.3491
-3.5536,11.9405,0.1745
-3.2931,11.9633,0.0000
-3.0327,11.9405,6.1087
-2.7801,11.8728,5.9341
-2.5344,11.7834,5.9341
-2.4032,11.7285,5.7596
-2.2777,11.6613,5.6723
-2.1592,11.5826,5.5851
-2.0486,11.4930,5.4978
-1.9471,11.3933,5.4105
-1.8547,11.2851,5.3233
-1.7642,11.1752,5.3233
-1.6763,11.0633,5.3233
-1.5989,10.9439,5.2360
-1.5331,10.8177,5.0615
-1.4796,10.6859,4.9742
-1.4389,10.5495,4.8869
-1.4112,10.4100,4.7997
-1.3969,10.2684,4.7124
-1.3960,10.1261,4.6251
-1.4087,9.9844,4.5379
-1.4347,9.8445,4.4506
-1.4738,9.7077,4.3633
-1.5258,9.5752,4.2761
-1.5900,9.4483,4.1888
-1.6660,9.3280,4.1015
-1.7474,9.1981,4.1888
-1.8151,9.0606,4.2761
-1.8684,8.9170,4.3633
-1.9068,8.7686,4.4506
-1.9383,8.6185,4.4506
-1.9720,8.4690,4.3633
-1.9720,8.4690,4.4506
-2.0033,8.3237,4.5379
-2.0282,8.1771,4.5379
-2.0531,8.0306,4.5379
-2.0780,7.8840,4.5379
-2.1029,7.7374,4.5379
-2.1278,7.5908,4.5379
-2.1526,7.4443,4.5379
-2.1775,7.2977,4.5379
-2.2024,7.1511,4.5379
-2.2273,7.0045,4.5379
-2.2486,6.8574,4.5379
-2.2560,6.7090,4.7124
-2.2534,6.5638,4.7124
-2.2506,6.4185,4.7124
-2.2478,6.2733,4.7124
-2.2449,6.1281,4.7124
-2.2418,5.9829,4.7124
-2.2291,5.8382,4.7997
-2.2024,5.6955,4.8869
-2.1621,5.5560,4.9742
-2.1084,5.4211,5.0615
-2.0420,5.2920,5.2360
-1.9647,5.1717,5.3233
-1.8763,5.0594,5.4105
-1.7776,4.9559,5.4978
-1.6695,4.8623,5.5851
-1.5532,4.7791,5.6723
-1.4348,4.6988,5.6723
-1.3164,4.6186,5.6723
-1.1980,4.5383,5.6723
-1.0796,4.4581,5.6723
-0.9612,4.3779,5.6723
-0.8428,4.2976,5.6723
-0.7290,4.2110,5.5851
-0.6087,4.1147,5.5851
-0.4881,4.0188,5.5851
-0.3675,3.9228,5.5851
-0.2468,3.8269,5.5851
-0.1262,3.7310,5.5851
-0.0056,3.6351,5.5851
0.1151,3.5392,5.5851
0.2356,3.4432,5.5851
0.3500,3.3400,5.4978
0.5349,3.1551,5.4978
0.7030,2.9548,5.3233
0.8337,2.7284,5.1487
0.9231,2.4827,4.9742
0.9534,2.3438,4.7997
0.9703,2.2026,4.7124
0.9738,2.0605,4.6251
0.9639,1.9187,4.5379
0.9454,1.7777,4.5379
0.9267,1.6368,4.5379
0.9074,1.4959,4.5379
0.8782,1.3567,4.4506
0.8360,1.2210,4.3633
0.7768,1.0808,4.1888
0.7036,0.9474,4.1015
0.6174,0.8220,4.0143
0.5230,0.7026,4.0143
0.4285,0.5833,4.0143
0.3340,0.4639,4.0143
0.2395,0.3446,4.0143
0.1450,0.2252,4.0143
0.0504,0.1059,4.0143
-0.0420,-0.0150,4.1015
